"occurrenceStatus.2";"geometry.2";"pred.2"
1;c(19.1522, 69.7433);0,852
1;c(9.058641, 62.707484);0,885
1;c(10.162585, 63.438738);0,531
1;c(6.442259, 59.216857);0,808
1;c(9.68205, 62.616079);0,784
1;c(8.903029, 62.474092);0,881
1;c(9.543189, 62.482045);0,792
1;c(10.088907, 62.55067);0,726
1;c(10.410675, 62.116865);0,774
1;c(11.673805, 63.732777);0,718
1;c(10.44618, 64.288866);0,815
1;c(11.549993, 63.708082);0,738
1;c(13.78009, 58.46274);0,303
1;c(12.48201, 59.04869);0,301
1;c(16.42761, 58.58834);0,444
1;c(18.40703, 60.43427);0,413
1;c(17.15579, 60.64754);0,549
1;c(17.40369, 58.79458);0,315
1;c(15.69313, 58.32244);0,345
1;c(15.78077, 58.60342);0,425
1;c(17.2844, 60.63633);0,543
1;c(15.78077, 58.34637);0,398
1;c(16.02299, 58.63769);0,437
1;c(12.09248, 59.73579);0,402
1;c(15.80948, 58.59837);0,433
1;c(17.44698, 58.7984);0,303
1;c(16.76336, 58.52471);0,364
1;c(16.52808, 58.37515);0,446
1;c(15.54243, 58.07685);0,387
1;c(15.77964, 58.76078);0,477
1;c(15.12087, 58.9097);0,374
1;c(17.80482, 62.5409);0,504
1;c(13.5949, 58.53135);0,211
1;c(16.28059, 58.18047);0,466
1;c(15.55845, 58.08804);0,36
1;c(15.49457, 57.92649);0,445
1;c(16.34092, 61.04638);0,748
1;c(17.45748, 58.91305);0,306
1;c(10.929218, 63.288739);0,757
1;c(9.623804, 62.294781);0,753
1;c(17.275232, 68.767171);0,873
1;c(9.58056, 62.63639);0,868
1;c(14.65944, 58.11972);0,341
1;c(15.01786, 59.23206);0,476
1;c(17.29289, 60.59007);0,539
1;c(16.35624, 58.41769);0,49
1;c(16.42727, 60.53329);0,747
1;c(15.28485, 58.7815);0,367
1;c(14.95961, 58.65873);0,307
1;c(14.99534, 59.36878);0,417
1;c(15.35741, 59.38717);0,548
1;c(12.89684, 59.95997);0,693
1;c(16.2674, 58.42038);0,445
1;c(15.29644, 59.34566);0,519
1;c(16.25339, 60.87619);0,847
1;c(16.79993, 60.98634);0,691
1;c(15.52776, 58.91242);0,418
1;c(14.60655, 63.25704);0,374
1;c(14.90337, 58.17888);0,365
1;c(15.11707, 61.74566);0,51
1;c(17.35594, 60.60394);0,548
1;c(16.29132, 58.17121);0,466
1;c(12.47584, 59.44558);0,424
1;c(14.96644, 58.96843);0,386
1;c(12.43086, 62.72768);0,751
1;c(14.59656, 62.83313);0,506
1;c(17.33517, 60.5803);0,555
1;c(16.73608, 58.17295);0,378
1;c(15.39395, 62.2699);0,499
1;c(16.19056, 59.01478);0,522
1;c(7.055979, 60.616092);0,866
1;c(12.109891, 58.181538);0,279
1;c(16.45676, 60.40138);0,665
1;c(16.48714, 60.48344);0,702
1;c(16.41995, 60.48916);0,725
1;c(16.46823, 60.4839);0,702
1;c(16.41137, 60.49718);0,663
1;c(16.5663, 60.47763);0,669
1;c(16.35697, 60.50828);0,656
1;c(16.34866, 60.55588);0,673
1;c(16.43914, 60.54058);0,747
1;c(16.34313, 60.57385);0,673
1;c(18.97421, 59.76268);0,34
1;c(17.32192, 58.89212);0,302
1;c(17.29534, 60.87317);0,531
1;c(17.27706, 60.87607);0,531
1;c(13.38572, 55.69793);0,339
1;c(17.36794, 58.83312);0,301
1;c(17.13676, 60.55709);0,538
1;c(16.65561, 60.42279);0,729
1;c(16.78476, 60.37075);0,715
1;c(17.03637, 60.50599);0,61
1;c(16.6039, 60.31271);0,683
1;c(11.3406, 58.43651);0,228
1;c(8.603022, 61.079646);0,739
1;c(8.882802, 61.936227);0,79
1;c(8.776118, 61.931016);0,831
1;c(11.74571, 57.73651);0,237
1;c(15.39889, 58.80469);0,362
1;c(15.56605, 58.85804);0,435
1;c(13.0576, 63.41589);0,649
1;c(12.28988, 59.10121);0,294
1;c(16.97511, 60.89314);0,668
1;c(12.32057, 58.91579);0,271
1;c(12.40246, 58.9239);0,253
1;c(15.56288, 58.19638);0,348
1;c(11.83697, 57.79145);0,172
1;c(11.58557, 57.97641);0,202
1;c(11.36762, 58.43296);0,228
1;c(11.2172, 58.83502);0,517
1;c(10.671, 63.434);0,469
1;c(8.43794, 61.70525);0,842
1;c(9.51846, 62.53672);0,851
1;c(9.99101, 62.15349);0,751
1;c(7.64223, 61.02791);0,88
1;c(16.90447, 59.19373);0,371
1;c(11.25291, 58.40141);0,216
1;c(11.69235, 57.98513);0,531
1;c(11.10073, 58.96335);0,531
1;c(18.72508, 59.86703);0,292
1;c(18.88778, 59.89809);0,301
1;c(12.48696, 59.29521);0,381
1;c(12.83479, 59.83283);0,502
1;c(13.27979, 57.39249);0,35
1;c(13.75658, 58.10364);0,223
1;c(15.68443, 58.94807);0,505
1;c(14.13434, 63.42347);0,443
1;c(14.5234, 58.60993);0,327
1;c(13.24084, 63.33386);0,523
1;c(17.25148, 60.63579);0,543
1;c(17.15838, 60.53216);0,546
1;c(17.21856, 60.63524);0,535
1;c(17.08176, 60.51278);0,531
1;c(17.12498, 60.53656);0,572
1;c(16.99556, 60.94217);0,656
1;c(17.26644, 60.75225);0,523
1;c(14.28022, 63.67758);0,706
1;c(17.08147, 60.29528);0,551
1;c(8.821678, 61.512544);0,822
1;c(7.235184, 60.379424);0,859
1;c(14.97284, 57.66657);0,396
1;c(15.18733, 59.72694);0,54
1;c(13.47164, 57.97766);0,374
1;c(14.48936, 59.69003);0,644
1;c(14.7673, 60.01721);0,553
1;c(14.76459, 60.00298);0,553
1;c(14.25412, 62.11183);0,498
1;c(23.08, 69.934);0,531
1;c(15.85876, 62.26359);0,54
1;c(15.22095, 61.68534);0,676
1;c(15.22679, 61.65796);0,594
1;c(16.68206, 61.60191);0,536
1;c(15.41472, 62.30137);0,511
1;c(15.72311, 62.28489);0,512
1;c(15.27787, 58.03227);0,331
1;c(16.73786, 62.14203);0,45
1;c(16.28479, 62.22567);0,555
1;c(16.15942, 61.03531);0,791
1;c(16.61673, 62.17939);0,458
1;c(16.25807, 62.23456);0,555
1;c(16.35772, 61.06516);0,748
1;c(16.40511, 58.58327);0,446
1;c(16.47037, 61.23426);0,698
1;c(16.55773, 62.06838);0,491
1;c(16.60616, 62.18902);0,458
1;c(16.51033, 62.17367);0,471
1;c(16.55398, 62.15723);0,485
1;c(16.52729, 62.16894);0,471
1;c(17.16827, 62.10799);0,595
1;c(16.59897, 62.14609);0,448
1;c(16.01216, 61.57041);0,507
1;c(16.2857, 61.06633);0,745
1;c(16.02372, 61.11109);0,644
1;c(15.45562, 61.70045);0,614
1;c(16.50058, 62.19583);0,471
1;c(16.10239, 61.10879);0,712
1;c(16.57069, 62.05126);0,491
1;c(15.44705, 61.68949);0,614
1;c(16.36458, 62.20193);0,518
1;c(15.60631, 61.8962);0,518
1;c(16.93703, 62.15417);0,519
1;c(16.4824, 61.72917);0,581
1;c(15.43788, 61.66703);0,614
1;c(16.59116, 62.06087);0,44
1;c(15.96039, 61.31511);0,708
1;c(17.98082, 60.47244);0,437
1;c(16.45919, 62.09111);0,57
1;c(15.85077, 61.29933);0,687
1;c(12.10191, 57.24968);0,489
1;c(18.40367, 60.20198);0,415
1;c(17.01559, 62.10462);0,567
1;c(15.87564, 61.14299);0,644
1;c(20.95, 69.92);0,531
1;c(10.40957, 63.427083);0,531
1;c(12.50918, 59.1622);0,309
1;c(17.48769, 59.38021);0,347
1;c(12.63772, 59.47124);0,48
1;c(16.404827, 68.088531);0,859
1;c(16.22501, 58.65071);0,434
1;c(14.645827, 66.98857);0,86
1;c(14.424141, 67.027844);0,863
1;c(14.363495, 66.932072);0,859
1;c(14.367825, 66.89755);0,859
1;c(14.324329, 66.926081);0,859
1;c(20.9, 69.933333);0,78
1;c(10.677726, 60.696027);0,509
1;c(7.476049, 61.507811);0,867
1;c(14.51355, 67.34408);0,531
1;c(8.113242, 61.680785);0,852
1;c(8.136266, 61.688655);0,849
1;c(7.707374, 61.553476);0,87
1;c(9.596553, 62.239464);0,72
1;c(11.248533, 64.827274);0,531
1;c(11.710727, 65.104202);0,773
1;c(8.035183, 62.271425);0,878
1;c(14.0916, 66.714063);0,859
1;c(9.607302, 63.799289);0,531
1;c(13.640816, 66.665957);0,859
1;c(9.619666, 62.427868);0,806
1;c(10.772782, 64.868716);0,811
1;c(11.883253, 65.12343);0,838
1;c(9.812861, 63.888026);0,796
1;c(9.578515, 62.302376);0,747
1;c(10.778024, 64.974476);0,765
1;c(10.903793, 64.954973);0,531
1;c(10.861475, 64.955507);0,531
1;c(9.606338, 63.75442);0,798
1;c(10.77515, 64.904591);0,814
1;c(8.512989, 62.507304);0,886
1;c(10.684828, 64.474809);0,822
1;c(9.132279, 62.050312);0,721
1;c(9.658985, 62.454617);0,828
1;c(9.713216, 63.278559);0,764
1;c(10.170971, 62.163988);0,7
1;c(9.428898, 62.740869);0,864
1;c(9.264276, 61.834681);0,702
1;c(9.404057, 63.782052);0,531
1;c(17.278329, 68.315679);0,531
1;c(15.711841, 67.811311);0,855
1;c(9.643079, 62.616263);0,791
1;c(9.901735, 62.148048);0,742
1;c(11.519418, 62.925478);0,814
1;c(10.577775, 64.422143);0,811
1;c(9.311993, 62.635343);0,884
1;c(8.355062, 61.725696);0,851
1;c(11.306407, 64.813818);0,814
1;c(10.821039, 64.957891);0,531
1;c(9.678162, 62.445549);0,799
1;c(9.52722, 62.767461);0,863
1;c(10.75755, 60.036632);0,482
1;c(11.261867, 64.680648);0,531
1;c(11.204601, 64.728284);0,812
1;c(21.232502, 69.846766);0,769
1;c(10.673895, 63.297135);0,759
1;c(12.702314, 65.802307);0,531
1;c(8.843955, 62.64458);0,879
1;c(9.967092, 62.441969);0,734
1;c(10.797994, 64.956286);0,531
1;c(11.199503, 64.665518);0,801
1;c(13.696442, 66.469032);0,856
1;c(9.312833, 63.636076);0,531
1;c(9.409612, 62.644068);0,853
1;c(9.44143, 62.159256);0,763
1;c(9.915588, 62.605771);0,812
1;c(10.40333, 62.206718);0,705
1;c(9.363484, 63.78216);0,531
1;c(11.391791, 64.707424);0,531
1;c(9.679793, 62.517352);0,847
1;c(13.321069, 68.035702);0,835
1;c(11.812626, 62.674732);0,75
1;c(9.545183, 63.648844);0,531
1;c(8.429586, 61.788867);0,854
1;c(10.042187, 62.326604);0,684
1;c(12.496939, 65.664421);0,863
1;c(11.66282, 62.985712);0,821
1;c(9.038731, 63.665946);0,803
1;c(7.147166, 62.981673);0,805
1;c(14.133466, 66.812984);0,856
1;c(13.728509, 67.160154);0,531
1;c(8.998422, 61.861866);0,615
1;c(9.731881, 63.906408);0,531
1;c(10.989089, 64.962836);0,531
1;c(9.711052, 63.888562);0,531
1;c(7.951238, 62.515069);0,819
1;c(11.57891, 65.040986);0,531
1;c(11.835365, 62.687747);0,732
1;c(14.455995, 68.753733);0,531
1;c(10.967492, 62.307611);0,698
1;c(10.364086, 62.189154);0,721
1;c(11.199255, 64.740034);0,812
1;c(13.873141, 66.533211);0,841
1;c(10.90509, 63.449628);0,427
1;c(9.115021, 62.124006);0,71
1;c(11.816175, 62.937829);0,733
1;c(20.972984, 69.416481);0,786
1;c(9.597263, 62.275367);0,717
1;c(11.241428, 63.15465);0,728
1;c(8.228951, 62.227752);0,78
1;c(9.703916, 62.78464);0,863
1;c(8.553134, 62.527267);0,882
1;c(9.82598, 62.184428);0,75
1;c(9.018521, 63.656975);0,803
1;c(10.628351, 62.130554);0,669
1;c(8.231233, 62.137997);0,872
1;c(9.845437, 62.193287);0,709
1;c(10.669365, 62.149899);0,699
1;c(11.105475, 64.826587);0,531
1;c(10.999491, 62.208382);0,686
1;c(9.81461, 63.678984);0,531
1;c(11.149503, 64.827842);0,531
1;c(10.271313, 64.118086);0,816
