"occurrenceStatus";"geometry";"pred"
1;c(17.91213, 59.73876);0,295
1;c(16.41501, 60.5477);0,685
1;c(16.43164, 60.54191);0,786
1;c(17.08571, 60.48762);0,241
1;c(17.09114, 60.5054);0,268
1;c(11.67849, 57.69803);1
1;c(16.86276, 58.94791);0,3
1;c(16.8503, 58.9449);0,3
1;c(14.27946, 63.67788);0,625
1;c(12.22811, 65.465335);0,98
1;c(12.227392, 65.458854);0,98
1;c(16.584382, 68.580166);1
1;c(12.210872, 65.462932);0,98
1;c(11.117164, 62.39875);0,919
1;c(11.031851, 62.564703);0,891
1;c(18.70071, 60.1194);0,301
1;c(14.4594, 67.22846);1
1;c(14.37609, 67.137553);1
1;c(13.386578, 66.837446);1
1;c(14.01002, 63.38388);0,702
1;c(13.99928, 63.38438);0,626
1;c(14.714674, 67.273466);1
1;c(14.763057, 67.026466);1
1;c(11.734, 62.8625);0,971
1;c(11.7434, 59.2986);0,686
1;c(12.1192, 63.9495);0,967
1;c(14.57359, 57.75081);0,324
1;c(14.54523, 57.62827);0,349
1;c(14.57834, 57.6775);0,345
1;c(14.56514, 57.66666);0,349
1;c(14.65408, 57.68313);0,19
1;c(14.53192, 57.66486);0,382
1;c(14.8538, 57.87297);0,491
1;c(14.59902, 57.87028);0,356
1;c(14.34949, 57.61545);0,463
1;c(15.01777, 57.72694);0,114
1;c(13.92743, 57.90932);0,258
1;c(15.25885, 60.97453);0,768
1;c(13.93683, 63.39143);0,449
1;c(13.80899, 63.5709);0,716
1;c(14.86598, 63.27253);0,628
1;c(14.81122, 63.1296);0,741
1;c(14.35269, 63.02004);0,514
1;c(13.81462, 63.50185);0,592
1;c(14.1671, 63.4614);0,541
1;c(12.93046, 63.1287);0,865
1;c(14.75725, 63.14125);0,492
1;c(13.85949, 63.49135);0,46
1;c(14.17374, 63.70763);0,52
1;c(14.84881, 59.9605);0,6
1;c(14.84129, 59.95777);0,182
1;c(16.5456, 68.9944);1
1;c(14.08672, 57.5869);0,541
1;c(13.92549, 63.49008);0,521
1;c(15.132414, 66.947736);0,997
1;c(12.486528, 65.795305);1
1;c(12.674699, 66.039196);1
1;c(12.922069, 66.013343);1
1;c(12.66175, 66.0333);1
1;c(12.769427, 65.971974);0,999
1;c(11.900876, 63.112718);0,987
1;c(11.63581, 62.97325);0,966
1;c(11.646292, 62.980256);0,966
1;c(11.754974, 62.968551);0,962
1;c(11.841276, 62.936662);0,967
1;c(11.668767, 62.987279);0,986
1;c(15.07994, 62.95346);0,728
1;c(16.37718, 57.59288);0,219
1;c(16.0125, 62.23862);0,404
1;c(16.64673, 60.01445);0,38
1;c(15.67002, 59.7214);0,721
1;c(16.48847, 62.66309);0,518
1;c(15.22291, 58.06638);0,348
1;c(18.2598, 62.84256);1
1;c(14.37601, 59.05267);0,148
1;c(11.91012, 57.84503);0,161
1;c(15.08865, 63.32008);0,528
1;c(15.44149, 58.07017);0,115
1;c(15.13703, 58.92929);0,235
1;c(15.74668, 57.13714);0,15
1;c(15.24213, 58.09221);0,367
1;c(15.60211, 57.97946);0,279
1;c(15.94507, 58.07882);0,171
1;c(16.25236, 59.05032);0,294
1;c(14.39475, 63.26555);0,254
1;c(16.66554, 59.34472);0,369
1;c(14.61619, 63.01591);0,413
1;c(16.03358, 57.59938);0,192
1;c(15.68495, 57.82759);0,208
1;c(16.22961, 56.90655);0,144
1;c(18.40623, 62.87459);0,324
1;c(15.47275, 57.79646);0,069
1;c(15.02677, 57.51362);0,256
1;c(14.15404, 59.81984);0,632
1;c(14.37006, 59.7833);0,712
1;c(16.48364, 59.91264);0,502
1;c(13.8748, 57.56403);0,271
1;c(16.00417, 59.71853);0,541
1;c(11.25643, 58.55245);0,372
1;c(11.16746, 58.80542);0,847
1;c(11.19123, 58.7493);0,784
1;c(11.26633, 58.56763);0,372
1;c(11.55861, 58.04181);0,315
1;c(14.71785, 63.67686);0,615
1;c(14.02446, 63.38165);0,702
1;c(18.76418, 60.05456);0,321
1;c(13.98287, 63.39659);0,626
1;c(15.69517, 57.40657);0,161
1;c(11.96975, 58.03617);0,102
1;c(16.07486, 59.80197);0,599
1;c(12.51637, 59.94922);0,838
1;c(12.63796, 59.89222);0,857
1;c(12.50646, 59.99479);0,911
1;c(12.61106, 59.82147);0,779
1;c(15.45311, 58.08596);0,141
1;c(12.58026, 58.91214);0,316
1;c(13.44313, 57.87151);0,168
1;c(18.75151, 59.26005);0,182
1;c(14.64886, 57.57484);0,406
1;c(13.62886, 58.19205);0,281
1;c(15.33653, 57.39288);0,319
1;c(12.70357, 60.0157);0,632
1;c(13.61969, 63.26518);0,567
1;c(14.699169, 67.257531);1
1;c(14.721663, 67.26116);1
1;c(11.135337, 64.836377);1
1;c(12.992555, 67.884118);1
1;c(11.974336, 65.802514);1
1;c(12.032807, 65.770183);1
1;c(13.226129, 66.674005);0,998
